Source,Target
1,57
1,210
3,191
5,6
10,23
12,30
24,33
10,59
24,48
11,47
10,69
10,91
54,56
22,53
54,97
36,113
14,184
14,189
9,166
54,131
54,134
10,209
70,72
28,112
11,216
34,87
62,265
64,141
55,266
34,146
54,245
54,247
54,249
54,250
54,252
54,280
54,282
54,283
54,289
54,290
34,203
34,228
34,230
61,251
90,93
34,264
77,79
77,120
74,169
81,256
100,105
76,200
104,109
100,197
107,111
104,151
104,180
98,281
109,177
114,194
104,234
104,240
104,254
130,196
130,201
104,273
117,119
131,235
135,262
136,191
160,191
173,271
178,179
244,295
206,232
238,248
240,297
263,270
263,288
253,291
267,268
236,243
236,296
274,275
1,26
1,208
4,63
25,115
10,49
34,43
10,66
9,74
22,31
10,82
9,80
26,71
10,95
20,34
54,96
14,185
14,186
54,132
38,40
14,214
10,212
10,224
10,269
27,179
36,220
73,85
54,241
34,154
34,164
34,279
75,104
104,175
114,255
157,258
226,227
239,248
237,298
10,50
10,217
64,81
29,188
34,163
76,77
64,263
104,170
150,232
175,176
18,40
10,39
5,202
14,183
9,181
10,215
9,192
54,253
149,172
275,276
248,294
4,36
11,17
9,28
10,92
14,187
54,162
64,103
54,294
165,167
2,36
10,24
34,44
9,86
54,246
85,148
157,268
45,122
54,61
9,125
64,121
82,126
10,13
10,17
35,52
9,102
62,207
54,244
77,118
64,257
104,259
117,130
123,202
172,207
188,190
284,292
14,29
34,45
10,90
54,98
9,165
55,268
64,143
77,130
104,237
142,154
25,40
9,85
1,219
10,35
9,108
1,22
46,60
55,62
10,77
9,78
27,55
54,286
34,64
9,199
104,199
14,27
10,40
1,60
1,99
10,14
9,83
62,158
20,159
54,284
89,129
64,229
127,128
149,153
161,162
1,15
9,21
193,198
1,58
1,16
10,32
40,42
8,51
10,68
15,67
9,140
62,198
10,213
10,218
10,225
27,174
62,272
54,242
36,261
54,285
54,287
92,127
104,110
102,171
182,222
299,300
10,89
10,221
10,222
10,271
36,211
106,107
116,274
284,293
4,260
9,195
223,225
14,19
10,94
44,152
54,236
36,191
34,138
107,232
139,165
36,124
1,7
10,114
10,12
1,5
104,107
15,54
14,233
199,277
22,37
1,10
1,101
10,65
62,147
51,204
133,139
1,70
220,227
25,274
75,137
141,145
1,8
14,36
36,231
9,34
10,21
41,42
54,88
14,135
34,168
202,299
139,155
155,156
204,205
100,219
36,278
9,84
143,144
