Id,Label,ClusterId,Value
10,10,0,1000
23,23,0,0
12,12,0,0
30,30,0,0
24,24,0,0
33,33,0,0
59,59,0,0
48,48,0,0
11,11,0,0
47,47,0,0
69,69,0,0
91,91,0,0
209,209,0,0
216,216,0,0
90,90,0,0
93,93,0,0
114,114,0,0
194,194,0,0
173,173,0,0
271,271,0,0
49,49,0,0
66,66,0,0
82,82,0,0
95,95,0,0
212,212,0,0
224,224,0,0
269,269,0,0
255,255,0,0
50,50,0,0
217,217,0,0
39,39,0,0
215,215,0,0
17,17,0,0
92,92,0,0
126,126,0,0
13,13,0,0
35,35,0,0
52,52,0,0
89,89,0,0
129,129,0,0
127,127,0,0
128,128,0,0
32,32,0,0
68,68,0,0
213,213,0,0
218,218,0,0
225,225,0,0
182,182,0,0
222,222,0,0
221,221,0,0
223,223,0,0
94,94,0,0
65,65,0,0
54,54,1,1000
56,56,1,0
97,97,1,0
131,131,1,0
134,134,1,0
245,245,1,0
247,247,1,0
249,249,1,0
250,250,1,0
252,252,1,0
280,280,1,0
282,282,1,0
283,283,1,0
289,289,1,0
290,290,1,0
61,61,1,0
251,251,1,0
98,98,1,0
281,281,1,0
235,235,1,0
244,244,1,0
295,295,1,0
238,238,1,0
248,248,1,0
253,253,1,0
291,291,1,0
236,236,1,0
243,243,1,0
296,296,1,0
96,96,1,0
132,132,1,0
241,241,1,0
239,239,1,0
294,294,1,0
162,162,1,0
246,246,1,0
284,284,1,0
292,292,1,0
286,286,1,0
161,161,1,0
242,242,1,0
285,285,1,0
287,287,1,0
293,293,1,0
88,88,1,0
1,1,2,1000
57,57,2,0
210,210,2,0
5,5,2,0
6,6,2,0
22,22,2,0
53,53,2,0
70,70,2,0
72,72,2,0
100,100,2,0
105,105,2,0
197,197,2,0
26,26,2,0
208,208,2,0
31,31,2,0
71,71,2,0
202,202,2,0
123,123,2,0
219,219,2,0
46,46,2,0
60,60,2,0
99,99,2,0
15,15,12,1000
58,58,2,0
16,16,2,0
8,8,2,0
51,51,2,0
67,67,12,0
299,299,2,0
300,300,2,0
7,7,2,0
37,37,2,0
101,101,2,0
204,204,2,0
205,205,2,0
34,34,3,1000
87,87,3,0
64,64,3,0
141,141,3,0
146,146,3,0
203,203,3,0
228,228,3,0
230,230,3,0
264,264,3,0
81,81,3,0
256,256,3,0
263,263,3,0
270,270,3,0
288,288,3,0
43,43,3,0
20,20,3,0
154,154,3,0
164,164,3,0
279,279,3,0
163,163,3,0
103,103,3,0
44,44,3,0
45,45,3,0
122,122,3,0
121,121,3,0
257,257,3,0
143,143,3,0
142,142,3,0
159,159,3,0
229,229,3,0
152,152,3,0
138,138,3,0
145,145,3,0
168,168,3,0
144,144,3,0
9,9,4,1000
166,166,4,0
28,28,4,0
112,112,4,0
74,74,4,0
169,169,4,0
80,80,4,0
73,73,4,0
85,85,4,0
181,181,4,0
192,192,4,0
165,165,4,0
167,167,4,0
86,86,4,0
148,148,4,0
125,125,4,0
102,102,4,0
108,108,4,0
78,78,4,0
83,83,4,0
21,21,11,1000
140,140,4,0
171,171,4,0
195,195,4,0
139,139,4,0
133,133,4,0
155,155,4,0
156,156,4,0
84,84,4,0
104,104,5,1000
109,109,5,0
107,107,5,0
111,111,5,0
151,151,5,0
180,180,5,0
177,177,5,0
234,234,5,0
240,240,5,0
254,254,5,0
273,273,5,0
206,206,5,0
232,232,5,0
297,297,5,0
75,75,5,0
175,175,5,0
237,237,5,0
298,298,5,0
170,170,5,0
150,150,5,0
176,176,5,0
259,259,5,0
199,199,13,1000
110,110,5,0
106,106,5,0
277,277,13,0
137,137,5,0
14,14,6,1000
184,184,6,0
189,189,6,0
135,135,6,0
262,262,6,0
178,178,14,0
179,179,14,0
185,185,6,0
186,186,6,0
214,214,6,0
27,27,14,1000
29,29,6,0
188,188,6,0
183,183,6,0
187,187,6,0
190,190,6,0
174,174,14,0
19,19,6,0
233,233,6,0
3,3,7,0
191,191,7,0
36,36,7,1000
113,113,7,0
136,136,7,0
160,160,7,0
4,4,7,0
63,63,7,0
220,220,7,0
226,226,7,0
227,227,7,0
2,2,7,0
261,261,7,0
211,211,7,0
260,260,7,0
124,124,7,0
231,231,7,0
278,278,7,0
62,62,8,1000
265,265,8,0
55,55,15,1000
266,266,15,0
267,267,15,0
268,268,15,0
157,157,15,0
258,258,15,0
149,149,8,0
172,172,8,0
207,207,8,0
158,158,8,0
153,153,8,0
193,193,8,0
198,198,8,0
272,272,8,0
147,147,8,0
77,77,9,1000
79,79,9,0
120,120,9,0
76,76,9,0
200,200,9,0
130,130,9,0
196,196,9,0
201,201,9,0
117,117,9,0
119,119,9,0
118,118,9,0
274,274,10,0
275,275,10,0
25,25,10,0
115,115,10,0
38,38,10,0
40,40,10,1000
18,18,10,0
276,276,10,0
42,42,10,0
116,116,10,0
41,41,10,0
